date,prcp_mm
2025-10-08,6.9
2025-10-09,0.0
2025-10-10,0.0
2025-10-11,1.2
2025-10-12,8.5
2025-10-13,37.0
2025-10-14,1.7
2025-10-15,0.0
2025-10-16,0.0
2025-10-17,0.0
2025-10-18,0.0
2025-10-19,0.0
2025-10-20,7.0
2025-10-21,0.0
2025-10-22,3.2
2025-10-23,0.0
2025-10-24,0.0
2025-10-25,0.0
2025-10-26,0.0
2025-10-27,0.0
2025-10-28,0.0
2025-10-29,0.0
2025-10-30,38.1
2025-10-31,4.1
2025-11-01,0.0
2025-11-02,0.0
2025-11-03,0.0
2025-11-04,0.0
2025-11-05,0.0
2025-11-06,1.0
2025-11-07,0.0
2025-11-08,6.2
2025-11-09,0.2
2025-11-10,13.2
2025-11-11,0.6
2025-11-12,0.0
2025-11-13,0.3
2025-11-14,0.0
2025-11-15,0.0
2025-11-16,4.5
2025-11-17,0.1
2025-11-18,0.0
2025-11-19,3.6
2025-11-20,0.0
2025-11-21,0.0
2025-11-22,5.7
2025-11-23,0.0
2025-11-24,0.0
2025-11-25,2.6
2025-11-26,10.9
2025-11-27,1.1
2025-11-28,0.0
2025-11-29,0.0
2025-11-30,2.8
2025-12-01,0.0
2025-12-02,17.1
2025-12-03,0.0
2025-12-04,0.1
2025-12-05,0.0
2025-12-06,0.3
2025-12-07,0.0
2025-12-08,0.0
2025-12-09,0.0
2025-12-10,1.7
2025-12-11,1.3
2025-12-12,0.0
2025-12-13,0.0
2025-12-14,11.7
2025-12-15,0.0
2025-12-16,0.0
2025-12-17,0.0
2025-12-18,0.0
2025-12-19,25.4
2025-12-20,0.0
2025-12-21,0.0
2025-12-22,0.0
2025-12-23,3.4
2025-12-24,0.0
2025-12-25,0.0
2025-12-26,1.6
2025-12-27,10.4
2025-12-28,0.0
2025-12-29,4.7
2025-12-30,0.0
2025-12-31,0.0
